정보공시 학교코드,행정표준코드,도로명주소,시도명
S000003493,7004178,대구광역시 중구 달구벌대로 2150,대구광역시
S000003499,7004442,충청남도 공주시 하선길 47,충청남도
S000003503,7006149,광주광역시 북구 필문대로 55,광주광역시
S000003504,7006150,전라남도 목포시 안태길 13,전라남도
S000003506,7004088,대구광역시 달서구 도원남로 19,대구광역시
S000003511,7091367,서울특별시 서초구 서초중앙로 96,서울특별시
S000003526,7006350,경상남도 진주시 진양호로369번길 3,경상남도
S000003528,7003915,충청북도 청주시 서원구 청남로 2067,충청북도
S000003536,7003849,충청북도 청주시 흥덕구 강내면 가로수로 562,충청북도
S000003559,7004971,부산광역시 연제구 교대로 24,부산광역시
S000003563,7061128,서울특별시 종로구 대학로 64,서울특별시
S000003564,7004258,인천광역시 계양구 안남로 612,인천광역시
S000003565,C150029,제주특별자치도 제주시 일주동로 61,제주특별자치도
S000003596,8791046,경상북도 안동시 단원로 222,경상북도
S010000737,7091369,서울특별시 강남구 선릉로 29,서울특별시
S010000738,7091370,서울특별시 강남구 개포로 401,서울특별시
S010000739,7091371,서울특별시 강남구 삼성로4길 30,서울특별시
S010000741,7091372,서울특별시 강남구 개포로 263,서울특별시
S010000742,7091373,서울특별시 강남구 강남대로120길 33,서울특별시
S010000743,7091374,서울특별시 강남구 남부순환로 3022,서울특별시
S010000744,7091375,서울특별시 강남구 선릉로 209,서울특별시
S010000745,7091376,서울특별시 강남구 광평로20길 27,서울특별시
S010000746,7091377,서울특별시 강남구 헌릉로618길 8,서울특별시
S010000747,7091378,서울특별시 강남구 개포로109길 74,서울특별시
S010000748,7091379,서울특별시 강남구 양재대로55길 28,서울특별시
S010000749,7091380,서울특별시 강남구 양재천로 363,서울특별시
S010000750,7091381,서울특별시 강남구 역삼로98길 16,서울특별시
S010000751,7091382,서울특별시 강남구 선릉로64길 33,서울특별시
S010000752,7091383,서울특별시 강남구 역삼로 313,서울특별시
S010000753,7091385,서울특별시 서초구 잠원로3길 28,서울특별시
