정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수,지역분류
S010000730,서울특별시교육청,서울특별시강남서초교육지원청,서울특별시 서초구,원촌중학교,공립,6,5,1,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,10.0,10.0,1229.0,2.3978952727983707,1.0,0.6336614981727328,0.0,70.91082943970018,고위험,290.0185637818371,구(대도시)
S010000983,서울특별시교육청,서울특별시강서양천교육지원청,서울특별시 양천구,봉영여자중학교,사립,6,4,2,2025-02-26,2025-02-26 00:00:00.000000,125.0,125.0,중,0.0,9.0,9.0,521.0,2.302585092994046,0.8,0.6084750807294722,0.005494505494505475,60.17308425747918,고위험,223.70370041870012,구(대도시)
S020000346,부산광역시교육청,부산광역시교육청,부산광역시 동구,경남여자고등학교,공립,6,4,2,2025-02-28,2025-02-16 00:00:00.000000,135.0,123.0,고,0.0,7.0,7.0,547.0,2.0794415416798357,0.8,0.5495077527409008,0.03296703296703296,58.69419540088929,고위험,219.44471666072755,구(대도시)
S010000972,서울특별시교육청,서울특별시강서양천교육지원청,서울특별시 강서구,덕원중학교,사립,6,3,3,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,19.0,19.0,734.0,2.995732273553991,0.6000000000000001,0.7916443316431058,0.0,56.1242629442225,고위험,216.99252723667968,구(대도시)
S030000620,대구광역시교육청,대구광역시동부교육지원청,대구광역시 수성구,경신중학교,사립,6,2,4,2024-12-27,2024-11-20 06:00:00.000000,222.0,186.0,중,0.0,19.0,19.0,951.0,2.995732273553991,0.4,0.7916443316431058,0.271978021978022,50.74788931784887,고위험,201.9074274925193,구(대도시)
S090005291,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,호평고등학교,공립,6,3,3,2025-02-25,2025-02-14 16:00:00.000000,136.0,126.0,고,0.0,8.0,8.0,955.0,2.1972245773362196,0.6000000000000001,0.5806327879665873,0.0357142857142857,49.76802486004024,고위험,198.09952733714033,시(중소도시)
S130001416,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 완산구,전주해성중학교,사립,6,3,3,2025-02-26,2025-01-13 00:00:00.000000,169.0,125.0,중,0.0,8.0,8.0,541.0,2.1972245773362196,0.6000000000000001,0.5806327879665873,0.12637362637362637,51.309233651249045,고위험,191.58864184659532,구(대도시)
S130001142,전북특별자치도교육청,전북특별자치도익산교육지원청,전북특별자치도 익산시,이리중학교,사립,6,2,4,2024-12-20,2024-10-06 00:00:00.000000,268.0,193.0,중,0.0,19.0,19.0,410.0,2.995732273553991,0.4,0.7916443316431058,0.3983516483516484,52.896240966200516,고위험,191.15864782368965,시(중소도시)
S030000722,대구광역시교육청,대구광역시동부교육지원청,대구광역시 수성구,대구삼육초등학교,사립,6,3,3,2025-02-28,2024-11-03 00:00:00.000000,240.0,123.0,초,0.0,12.0,12.0,194.0,2.5649493574615367,0.6000000000000001,0.6778067712229614,0.3214285714285715,57.83190916464345,고위험,190.26898279285015,구(대도시)
S010001729,서울특별시교육청,서울특별시북부교육지원청,서울특별시 노원구,청원중학교,사립,6,3,3,2025-02-23,2025-02-23 00:00:00.000000,128.0,128.0,중,0.0,10.0,10.0,493.0,2.3978952727983707,0.6000000000000001,0.6336614981727328,0.013736263736263743,51.14434592321667,고위험,188.91324882165867,구(대도시)
S140000842,전라남도교육청,전라남도목포교육지원청,전라남도 목포시,문태중학교,사립,6,2,4,2025-02-24,2024-12-31 12:00:00.000000,181.0,127.0,중,0.0,22.0,22.0,539.0,3.1354942159291497,0.4,0.8285774549523742,0.15934065934065939,50.05184722221956,고위험,186.81320223982485,시(중소도시)
S010001962,서울특별시교육청,서울특별시서부교육지원청,서울특별시 은평구,충암중학교,사립,6,2,4,2025-02-28,2025-02-17 06:00:00.000000,133.0,123.0,중,0.0,20.0,20.0,843.0,3.044522437723423,0.4,0.8045374921052872,0.027472527472527486,47.016770206507445,고위험,184.60394056505464,구(대도시)
S040000419,인천광역시교육청,인천광역시남부교육지원청,인천광역시 동구,재능중학교,사립,6,3,3,2025-02-27,2025-01-20 08:00:00.000000,161.0,124.0,중,0.0,10.0,10.0,316.0,2.3978952727983707,0.6000000000000001,0.6336614981727328,0.10439560439560441,52.685554714425464,고위험,184.4552493180194,구(대도시)
S130000403,전북특별자치도교육청,전북특별자치도교육청,전북특별자치도 전주시 덕진구,전라고등학교,공립,6,2,4,2025-02-27,2024-12-28 06:00:00.000000,184.0,124.0,고,0.0,15.0,15.0,802.0,2.772588722239781,0.4,0.7326770036545345,0.16758241758241765,47.02724221950074,고위험,183.62800374607045,구(대도시)
S010000615,서울특별시교육청,서울특별시교육청,서울특별시 마포구,홍익디자인고등학교,사립,6,3,3,2025-02-06,2025-02-04 00:00:00.000000,147.0,145.0,고,0.0,11.0,11.0,291.0,2.4849066497880004,0.6000000000000001,0.6566548958105609,0.06593406593406592,52.79049068262764,고위험,182.93926113112533,구(대도시)
S010000919,서울특별시교육청,서울특별시강동송파교육지원청,서울특별시 송파구,서울문정초등학교,공립,6,2,4,2025-02-25,2025-02-11 18:00:00.000000,139.0,126.0,초,0.0,19.0,19.0,737.0,2.995732273553991,0.4,0.7916443316431058,0.043956043956043966,46.87151569147524,고위험,181.30166445869932,구(대도시)
S150001643,경상북도교육청,경상북도김천교육지원청,경상북도 김천시,공학성의중학교,사립,6,3,3,2025-02-14,2025-02-10 00:00:00.000000,141.0,137.0,중,0.0,10.0,10.0,294.0,2.3978952727983707,0.6000000000000001,0.6336614981727328,0.04945054945054944,51.75148878035954,고위험,179.56845512973842,시(중소도시)
S150002654,경상북도교육청,경상북도영주교육지원청,경상북도 영주시,대영중학교,사립,6,3,3,2025-02-04,2025-02-04 00:00:00.000000,147.0,147.0,중,0.0,7.0,7.0,376.0,2.0794415416798357,0.6000000000000001,0.5495077527409008,0.06593406593406592,49.254634961328854,고위험,176.1513877014923,시(중소도시)
S130000921,전북특별자치도교육청,전북특별자치도부안교육지원청,전북특별자치도 부안군,백산중학교,사립,6,3,3,2024-12-19,2024-12-19 00:00:00.000000,194.0,194.0,중,0.0,10.0,10.0,133.0,2.3978952727983707,0.6000000000000001,0.6336614981727328,0.19505494505494503,54.22676350563426,고위험,169.57277235826254,군(농촌)
S130001005,전북특별자치도교육청,전북특별자치도순창교육지원청,전북특별자치도 순창군,순창북중학교,사립,6,3,3,2025-02-17,2025-02-12 16:00:00.000000,138.0,134.0,중,0.0,14.0,14.0,122.0,2.70805020110221,0.6000000000000001,0.7156222237991322,0.04120879120879123,54.316082835920824,고위험,167.8315419880775,군(농촌)
S130001588,전북특별자치도교육청,전북특별자치도정읍교육지원청,전북특별자치도 정읍시,신태인중학교,사립,6,4,2,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,9.0,9.0,60.0,2.302585092994046,0.8,0.6084750807294722,0.0,60.079677664072584,고위험,167.34171867557137,시(중소도시)
S140000841,전라남도교육청,전라남도목포교육지원청,전라남도 목포시,목포홍일중학교,사립,6,2,4,2025-02-10,2024-10-06 00:00:00.000000,268.0,141.0,중,0.0,7.0,7.0,499.0,2.0794415416798357,0.4,0.5495077527409008,0.3983516483516484,44.90573386242775,고위험,166.1049625798165,시(중소도시)
S090000821,경기도교육청,경기도평택교육지원청,경기도 평택시,태광고등학교,사립,6,1,5,2024-12-13,2024-12-13 00:00:00.000000,200.0,200.0,고,0.0,25.0,25.0,897.0,3.258096538021482,0.2,0.860976022136595,0.21153846153846156,42.00836257666148,고위험,166.0706657164562,시(중소도시)
S160001207,경상남도교육청,김해교육지원청,경상남도 김해시,주촌초등학교,공립,6,2,4,2025-02-27,2025-02-27 00:00:00.000000,124.0,124.0,초,0.0,8.0,8.0,1672.0,2.1972245773362196,0.4,0.5806327879665873,0.0027472527472527375,39.20758529960068,고위험,165.5930773678003,시(중소도시)
S050001118,광주광역시교육청,광주광역시교육청,광주광역시 광산구,운남고등학교,공립,6,2,4,2025-02-26,2025-02-10 00:00:00.000000,141.0,125.0,고,0.0,10.0,10.0,829.0,2.3978952727983707,0.4,0.6336614981727328,0.04945054945054944,41.751488780359516,고위험,163.6273450031924,구(대도시)
S160000675,경상남도교육청,경상남도교육청,경상남도 창원시 진해구,진해중앙고등학교,사립,6,1,5,2025-02-28,2024-12-14 00:00:00.000000,199.0,123.0,고,0.0,28.0,28.0,635.0,3.367295829986474,0.2,0.8898327398301857,0.20879120879120883,42.91393096384668,고위험,163.22129608488746,구(대도시)
