dm(%),de(%),dd(%),wm,we,wd,overlap(개교),overlap(%),jaccard
-20,20,0,0.4141,0.4099,0.176,2021,85.35,0.7444
-20,20,20,0.4,0.396,0.204,2025,85.52,0.747
-20,20,-20,0.4292,0.4249,0.1459,2028,85.64,0.7489
20,-20,20,0.5618,0.2472,0.191,2028,85.64,0.7489
20,-20,0,0.5803,0.2553,0.1644,2045,86.36,0.7599
20,-20,-20,0.6,0.264,0.136,2049,86.53,0.7626
0,-20,-20,0.5556,0.2933,0.1511,2102,88.77,0.798
0,-20,0,0.5353,0.2827,0.182,2118,89.44,0.809
20,0,-20,0.5629,0.3096,0.1276,2122,89.61,0.8118
0,-20,20,0.5165,0.2727,0.2107,2130,89.95,0.8173
-20,0,-20,0.4619,0.3811,0.157,2157,91.09,0.8364
20,0,0,0.5455,0.3,0.1545,2160,91.22,0.8385
-20,0,0,0.4444,0.3667,0.1889,2168,91.55,0.8442
20,0,20,0.5291,0.291,0.1799,2173,91.77,0.8478
0,20,-20,0.4845,0.3837,0.1318,2175,91.85,0.8493
-20,0,20,0.4283,0.3533,0.2184,2185,92.27,0.8565
0,20,0,0.469,0.3715,0.1595,2194,92.65,0.8631
0,20,20,0.4545,0.36,0.1855,2195,92.69,0.8638
-20,-20,20,0.4608,0.3041,0.235,2286,96.54,0.9331
20,20,-20,0.53,0.3498,0.1201,2311,97.59,0.953
-20,-20,0,0.4796,0.3165,0.2038,2321,98.02,0.9611
0,0,20,0.4836,0.3191,0.1973,2329,98.35,0.9676
0,0,-20,0.5176,0.3416,0.1408,2331,98.44,0.9692
20,20,0,0.5146,0.3396,0.1458,2340,98.82,0.9766
-20,-20,-20,0.5,0.33,0.17,2368,100.0,1.0
20,20,20,0.5,0.33,0.17,2368,100.0,1.0
